person_id;vehicle_id;Person Type;Person Injury Severity
747243;747232;DRIVER;NOT INJURED
747244;747232;PASSENGER/OCCUPANT;NOT INJURED
747245;747234;DRIVER;NOT INJURED
747246;747235;DRIVER;POSSIBLE INJURY
747247;747236;DRIVER;NOT INJURED
747248;747236;PASSENGER/OCCUPANT;NOT INJURED
747249;747238;DRIVER;NOT INJURED
747250;747238;PASSENGER/OCCUPANT;NOT INJURED
747251;747240;DRIVER;NOT INJURED
747252;747240;PASSENGER/OCCUPANT;NOT INJURED
747253;747240;PASSENGER/OCCUPANT;NOT INJURED
747254;747240;PASSENGER/OCCUPANT;NOT INJURED
747255;747244;DRIVER;NOT INJURED
747256;747245;DRIVER;NOT INJURED
747257;747246;DRIVER;NOT INJURED
747258;747247;DRIVER;NOT INJURED
747259;747248;DRIVER;NOT INJURED
747260;747249;DRIVER;NOT INJURED
747261;747250;DRIVER;NON-INCAPACITATING INJURY
747262;747250;PASSENGER/OCCUPANT;INCAPACITATING INJURY
747263;747250;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747264;747250;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747265;747250;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747266;747255;DRIVER;NOT INJURED
747267;747256;DRIVER;NOT INJURED
747268;747257;DRIVER;NOT INJURED
747269;747258;DRIVER;NOT INJURED
747270;747259;DRIVER;NOT INJURED
747271;747260;DRIVER;NOT INJURED
747272;747260;PASSENGER/OCCUPANT;NOT INJURED
747273;747262;DRIVER;NOT INJURED
747274;747263;DRIVER;NOT INJURED
747275;747263;PASSENGER/OCCUPANT;NOT INJURED
747276;747265;DRIVER;POSSIBLE INJURY
747277;747265;PASSENGER/OCCUPANT;POSSIBLE INJURY
747278;747267;DRIVER;NOT INJURED
747279;747268;DRIVER;NOT INJURED
747280;747269;DRIVER;UNKNOWN
747281;747270;DRIVER;NOT INJURED
747282;747270;PASSENGER/OCCUPANT;NOT INJURED
747283;747272;DRIVER;NOT INJURED
747284;747273;DRIVER;NOT INJURED
747285;747274;DRIVER;NOT INJURED
747286;747275;DRIVER;NON-INCAPACITATING INJURY
747287;747276;DRIVER;NOT INJURED
747288;747277;DRIVER;NOT INJURED
747289;747278;DRIVER;NOT INJURED
747290;747278;PASSENGER/OCCUPANT;NOT INJURED
747291;747280;DRIVER;NOT INJURED
747292;747280;PASSENGER/OCCUPANT;NOT INJURED
747293;747282;DRIVER;NOT INJURED
747294;747283;DRIVER;NOT INJURED
747295;747283;PASSENGER/OCCUPANT;NOT INJURED
747296;747285;DRIVER;NOT INJURED
747297;747286;DRIVER;NOT INJURED
747298;747286;PASSENGER/OCCUPANT;NOT INJURED
747299;747286;PASSENGER/OCCUPANT;NOT INJURED
747300;747289;DRIVER;NOT INJURED
747301;747290;DRIVER;NOT INJURED
747302;747291;DRIVER;POSSIBLE INJURY
747303;747292;DRIVER;NOT INJURED
747304;747293;DRIVER;POSSIBLE INJURY
747305;747294;DRIVER;POSSIBLE INJURY
747306;747295;DRIVER;NOT INJURED
747307;747296;DRIVER;NOT INJURED
747308;747297;DRIVER;NOT INJURED
747309;747297;PASSENGER/OCCUPANT;NOT INJURED
747310;747299;DRIVER;NOT INJURED
747311;747300;DRIVER;NOT INJURED
747312;747301;DRIVER;NOT INJURED
747313;747301;PASSENGER/OCCUPANT;UNKNOWN
747314;747303;DRIVER;NOT INJURED
747315;747304;DRIVER;POSSIBLE INJURY
747316;747305;DRIVER;NOT INJURED
747317;747305;PASSENGER/OCCUPANT;POSSIBLE INJURY
747318;747307;DRIVER;NOT INJURED
747319;747308;DRIVER;NO DATA
747320;747309;DRIVER;NOT INJURED
747321;747310;DRIVER;NOT INJURED
747322;747311;DRIVER;NOT INJURED
747323;747312;DRIVER;NOT INJURED
747324;747313;DRIVER;NON-INCAPACITATING INJURY
747325;747314;DRIVER;NOT INJURED
747326;747315;DRIVER;NOT INJURED
747327;747316;DRIVER;NOT INJURED
747328;747317;DRIVER;NOT INJURED
747329;747317;PASSENGER/OCCUPANT;NOT INJURED
747330;747319;DRIVER;NOT INJURED
747331;747319;PASSENGER/OCCUPANT;NOT INJURED
747332;747321;DRIVER;POSSIBLE INJURY
747333;747321;PASSENGER/OCCUPANT;NOT INJURED
747334;747323;DRIVER;NOT INJURED
747335;747324;DRIVER;NOT INJURED
747336;747325;DRIVER;NOT INJURED
747337;747326;DRIVER;NOT INJURED
747338;747327;DRIVER;NOT INJURED
747339;747328;DRIVER;NOT INJURED
747340;747329;DRIVER;NOT INJURED
747341;747329;PASSENGER/OCCUPANT;NOT INJURED
747342;747329;PASSENGER/OCCUPANT;NOT INJURED
747343;747332;DRIVER;NOT INJURED
747344;747333;DRIVER;NOT INJURED
747345;747333;PASSENGER/OCCUPANT;NOT INJURED
747346;747335;DRIVER OF MOTORCYCLE TYPE VEHICLE;POSSIBLE INJURY
747347;747336;DRIVER;NOT INJURED
747348;747336;PASSENGER/OCCUPANT;NOT INJURED
747349;747338;DRIVER;NOT INJURED
747350;747338;PASSENGER/OCCUPANT;NOT INJURED
747351;747340;DRIVER;NOT INJURED
747352;747341;DRIVER;NOT INJURED
747353;747341;PASSENGER/OCCUPANT;NOT INJURED
747354;747341;PASSENGER/OCCUPANT;NOT INJURED
747355;747344;DRIVER;UNKNOWN
747356;747345;DRIVER;NOT INJURED
747357;747346;DRIVER;NOT INJURED
747358;747347;DRIVER;NOT INJURED
747359;747347;PASSENGER/OCCUPANT;NOT INJURED
747360;747349;DRIVER;NOT INJURED
747361;747350;DRIVER;NOT INJURED
747362;747351;DRIVER;NOT INJURED
747363;747352;DRIVER;NOT INJURED
747364;747353;DRIVER;NOT INJURED
747365;747354;DRIVER;NOT INJURED
747366;747355;DRIVER;NOT INJURED
747367;747356;DRIVER;NOT INJURED
747368;747356;PASSENGER/OCCUPANT;NOT INJURED
747369;747358;DRIVER;NOT INJURED
747370;747359;DRIVER;NOT INJURED
747371;747360;DRIVER;NOT INJURED
747372;747360;PEDALCYCLIST;INCAPACITATING INJURY
747373;747362;DRIVER;NOT INJURED
747374;747363;DRIVER;NOT INJURED
747375;747364;DRIVER;NOT INJURED
747376;747365;DRIVER;NOT INJURED
747377;747366;DRIVER;UNKNOWN
747378;747367;DRIVER;NOT INJURED
747379;747368;DRIVER;UNKNOWN
747380;747369;DRIVER;NOT INJURED
747381;747370;DRIVER;NOT INJURED
747382;747370;PASSENGER/OCCUPANT;NOT INJURED
747383;747370;PASSENGER/OCCUPANT;NOT INJURED
747384;747373;DRIVER;NOT INJURED
747385;747374;DRIVER;NOT INJURED
747386;747375;DRIVER;POSSIBLE INJURY
747387;747376;DRIVER;POSSIBLE INJURY
747388;747376;PASSENGER/OCCUPANT;POSSIBLE INJURY
747389;747378;DRIVER;UNKNOWN
747390;747379;DRIVER;NOT INJURED
747391;747379;PASSENGER/OCCUPANT;NOT INJURED
747392;747379;PASSENGER/OCCUPANT;NOT INJURED
747393;747379;PASSENGER/OCCUPANT;NOT INJURED
747394;747383;DRIVER;NOT INJURED
747395;747384;DRIVER;NOT INJURED
747396;747385;DRIVER;UNKNOWN
747397;747386;DRIVER;NOT INJURED
747398;747387;DRIVER;NOT INJURED
747399;747388;DRIVER;NOT INJURED
747400;747389;DRIVER;NOT INJURED
747401;747390;DRIVER;NOT INJURED
747402;747390;PASSENGER/OCCUPANT;NOT INJURED
747403;747390;PEDESTRIAN;INCAPACITATING INJURY
747404;747393;DRIVER;UNKNOWN
747405;747394;DRIVER;NOT INJURED
747406;747395;DRIVER;NOT INJURED
747407;747396;DRIVER;NOT INJURED
747408;747397;DRIVER;NON-INCAPACITATING INJURY
747409;747398;DRIVER;INCAPACITATING INJURY
747410;747399;DRIVER;NON-INCAPACITATING INJURY
747411;747400;DRIVER;POSSIBLE INJURY
747412;747401;DRIVER;UNKNOWN
747413;747402;DRIVER;NOT INJURED
747414;747402;PASSENGER/OCCUPANT;NOT INJURED
747415;747402;PASSENGER/OCCUPANT;NOT INJURED
747416;747405;DRIVER;POSSIBLE INJURY
747417;747406;DRIVER;NOT INJURED
747418;747407;DRIVER;POSSIBLE INJURY
747419;747408;DRIVER;NOT INJURED
747420;747408;PASSENGER/OCCUPANT;NOT INJURED
747421;747410;DRIVER;NOT INJURED
747422;747411;DRIVER;NOT INJURED
747423;747412;DRIVER;NOT INJURED
747424;747412;PASSENGER/OCCUPANT;NOT INJURED
747425;747414;DRIVER;NOT INJURED
747426;747414;PASSENGER/OCCUPANT;NOT INJURED
747427;747414;PEDESTRIAN;NON-INCAPACITATING INJURY
747428;747417;DRIVER;NOT INJURED
747429;747417;PASSENGER/OCCUPANT;NOT INJURED
747430;747419;DRIVER;NOT INJURED
747431;747420;DRIVER;NOT INJURED
747432;747420;PASSENGER/OCCUPANT;NOT INJURED
747433;747422;DRIVER;UNKNOWN
747434;747423;DRIVER;NOT INJURED
747435;747423;PASSENGER/OCCUPANT;NOT INJURED
747436;747425;DRIVER;NOT INJURED
747437;747425;PASSENGER/OCCUPANT;NOT INJURED
747438;747427;DRIVER;NOT INJURED
747439;747428;DRIVER;NOT INJURED
747440;747429;DRIVER;NOT INJURED
747441;747429;PASSENGER/OCCUPANT;NOT INJURED
747442;747431;DRIVER;NOT INJURED
747443;747432;DRIVER;NOT INJURED
747444;747433;DRIVER;NOT INJURED
747445;747433;PASSENGER/OCCUPANT;POSSIBLE INJURY
747446;747435;DRIVER;NOT INJURED
747447;747436;DRIVER;NOT INJURED
747448;747437;DRIVER;NOT INJURED
747449;747438;DRIVER;NOT INJURED
747450;747439;DRIVER;NOT INJURED
747451;747439;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747452;747439;PASSENGER/OCCUPANT;NOT INJURED
747453;747442;DRIVER;NOT INJURED
747454;747443;DRIVER;NOT INJURED
747455;747443;PASSENGER/OCCUPANT;NOT INJURED
747456;747443;PASSENGER/OCCUPANT;NOT INJURED
747457;747446;DRIVER;NOT INJURED
747458;747447;DRIVER;NOT INJURED
747459;747447;PASSENGER/OCCUPANT;NOT INJURED
747460;747449;DRIVER;NOT INJURED
747461;747449;PASSENGER/OCCUPANT;NOT INJURED
747462;747449;PASSENGER/OCCUPANT;NOT INJURED
747463;747449;PASSENGER/OCCUPANT;NOT INJURED
747464;747453;DRIVER;NOT INJURED
747465;747454;DRIVER;NOT INJURED
747466;747455;DRIVER;POSSIBLE INJURY
747467;747455;PASSENGER/OCCUPANT;POSSIBLE INJURY
747468;747457;DRIVER;POSSIBLE INJURY
747469;747458;DRIVER;NOT INJURED
747470;747458;PASSENGER/OCCUPANT;NOT INJURED
747471;747460;DRIVER;NOT INJURED
747472;747461;DRIVER;NOT INJURED
747473;747462;DRIVER;NOT INJURED
747474;747462;PASSENGER/OCCUPANT;NOT INJURED
747475;747464;DRIVER;NON-INCAPACITATING INJURY
747476;747465;DRIVER;NOT INJURED
747477;747466;DRIVER;NOT INJURED
747478;747467;DRIVER OF MOTORCYCLE TYPE VEHICLE;POSSIBLE INJURY
747479;747468;DRIVER;NOT INJURED
747480;747469;DRIVER;NOT INJURED
747481;747469;PASSENGER/OCCUPANT;NOT INJURED
747482;747471;DRIVER;NON-INCAPACITATING INJURY
747483;747472;DRIVER;NOT INJURED
747484;747473;DRIVER;NOT INJURED
747485;747474;DRIVER;NOT INJURED
747486;747474;PASSENGER/OCCUPANT;NOT INJURED
747487;747474;PASSENGER/OCCUPANT;NOT INJURED
747488;747474;PASSENGER/OCCUPANT;NOT INJURED
747489;747478;DRIVER;NOT INJURED
747490;747478;PASSENGER/OCCUPANT;NOT INJURED
747491;747480;DRIVER;NOT INJURED
747492;747480;PASSENGER/OCCUPANT;NOT INJURED
747493;747480;PASSENGER/OCCUPANT;NOT INJURED
747494;747480;PASSENGER/OCCUPANT;NOT INJURED
747495;747484;DRIVER;NOT INJURED
747496;747484;PASSENGER/OCCUPANT;NOT INJURED
747497;747486;DRIVER;NOT INJURED
747498;747487;DRIVER;NOT INJURED
747499;747488;DRIVER;NOT INJURED
747500;747488;PASSENGER/OCCUPANT;NOT INJURED
747501;747490;DRIVER;NOT INJURED
747502;747491;DRIVER;NOT INJURED
747503;747492;DRIVER;POSSIBLE INJURY
747504;747493;DRIVER;POSSIBLE INJURY
747505;747494;DRIVER OF MOTORCYCLE TYPE VEHICLE;INCAPACITATING INJURY
747506;747495;DRIVER;POSSIBLE INJURY
747507;747496;DRIVER;NOT INJURED
747508;747497;DRIVER;NOT INJURED
747509;747498;DRIVER;NOT INJURED
747510;747499;DRIVER;INCAPACITATING INJURY
747511;747500;DRIVER;NOT INJURED
747512;747500;PASSENGER/OCCUPANT;NOT INJURED
747513;747502;DRIVER;NOT INJURED
747514;747503;DRIVER;NOT INJURED
747515;747504;DRIVER;NOT INJURED
747516;747505;DRIVER;NOT INJURED
747517;747506;DRIVER;NOT INJURED
747518;747507;DRIVER;NOT INJURED
747519;747508;DRIVER;NOT INJURED
747520;747509;DRIVER;POSSIBLE INJURY
747521;747509;PASSENGER/OCCUPANT;NOT INJURED
747522;747511;DRIVER;NOT INJURED
747523;747512;DRIVER;NOT INJURED
747524;747513;DRIVER;NOT INJURED
747525;747514;DRIVER;NOT INJURED
747526;747515;DRIVER;NOT INJURED
747527;747516;DRIVER;NOT INJURED
747528;747517;DRIVER;NOT INJURED
747529;747518;DRIVER;POSSIBLE INJURY
747530;747519;DRIVER;POSSIBLE INJURY
747531;747520;DRIVER;NOT INJURED
747532;747521;DRIVER;NOT INJURED
747533;747521;PASSENGER/OCCUPANT;NOT INJURED
747534;747523;DRIVER;POSSIBLE INJURY
747535;747524;DRIVER;NOT INJURED
747536;747525;DRIVER;NON-INCAPACITATING INJURY
747537;747526;DRIVER;NOT INJURED
747538;747527;DRIVER;NOT INJURED
747539;747528;DRIVER;NOT INJURED
747540;747529;DRIVER;NOT INJURED
747541;747530;DRIVER;NOT INJURED
747542;747530;PASSENGER/OCCUPANT;NOT INJURED
747543;747532;DRIVER;NOT INJURED
747544;747533;DRIVER;NOT INJURED
747545;747534;DRIVER;NOT INJURED
747546;747535;DRIVER;NON-INCAPACITATING INJURY
747547;747536;DRIVER;NOT INJURED
747548;747537;DRIVER;NOT INJURED
747549;747538;DRIVER;NOT INJURED
747550;747539;DRIVER;NOT INJURED
747551;747540;DRIVER;NOT INJURED
747552;747541;DRIVER;NOT INJURED
747553;747542;DRIVER;NOT INJURED
747554;747542;PASSENGER/OCCUPANT;NOT INJURED
747555;747544;DRIVER;NOT INJURED
747556;747545;DRIVER;NOT INJURED
747557;747546;DRIVER;NOT INJURED
747558;747547;DRIVER;POSSIBLE INJURY
747559;747548;DRIVER;POSSIBLE INJURY
747560;747549;DRIVER;NOT INJURED
747561;747549;PASSENGER/OCCUPANT;NOT INJURED
747562;747551;DRIVER;NOT INJURED
747563;747552;DRIVER;NOT INJURED
747564;747553;DRIVER;POSSIBLE INJURY
747565;747554;DRIVER;NOT INJURED
747566;747555;DRIVER;NOT INJURED
747567;747556;DRIVER;NOT INJURED
747568;747557;DRIVER;NOT INJURED
747569;747557;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747570;747559;DRIVER;NOT INJURED
747571;747560;DRIVER;NOT INJURED
747572;747560;PASSENGER/OCCUPANT;POSSIBLE INJURY
747573;747562;DRIVER;NOT INJURED
747574;747562;PASSENGER/OCCUPANT;NOT INJURED
747575;747562;PASSENGER/OCCUPANT;NOT INJURED
747576;747562;PASSENGER/OCCUPANT;NOT INJURED
747577;747562;PASSENGER/OCCUPANT;NOT INJURED
747578;747562;PASSENGER/OCCUPANT;NOT INJURED
747579;747562;PASSENGER/OCCUPANT;NOT INJURED
747580;747562;PASSENGER/OCCUPANT;NOT INJURED
747581;747562;PASSENGER/OCCUPANT;NOT INJURED
747582;747562;PASSENGER/OCCUPANT;NOT INJURED
747583;747562;PASSENGER/OCCUPANT;NOT INJURED
747584;747562;PASSENGER/OCCUPANT;NOT INJURED
747585;747562;PASSENGER/OCCUPANT;NOT INJURED
747586;747562;PASSENGER/OCCUPANT;NOT INJURED
747587;747562;PASSENGER/OCCUPANT;NOT INJURED
747588;747562;PASSENGER/OCCUPANT;NOT INJURED
747589;747562;PASSENGER/OCCUPANT;NOT INJURED
747590;747562;PASSENGER/OCCUPANT;NOT INJURED
747591;747562;PASSENGER/OCCUPANT;NOT INJURED
747592;747562;PASSENGER/OCCUPANT;POSSIBLE INJURY
747593;747562;PASSENGER/OCCUPANT;NOT INJURED
747594;747562;PASSENGER/OCCUPANT;NOT INJURED
747595;747562;PASSENGER/OCCUPANT;NOT INJURED
747596;747562;PASSENGER/OCCUPANT;NOT INJURED
747597;747562;PASSENGER/OCCUPANT;NOT INJURED
747598;747562;PASSENGER/OCCUPANT;NOT INJURED
747599;747562;PASSENGER/OCCUPANT;NOT INJURED
747600;747562;PASSENGER/OCCUPANT;NOT INJURED
747601;747562;PASSENGER/OCCUPANT;NOT INJURED
747602;747562;PASSENGER/OCCUPANT;NOT INJURED
747603;747562;PASSENGER/OCCUPANT;NOT INJURED
747604;747562;PASSENGER/OCCUPANT;NOT INJURED
747605;747562;PASSENGER/OCCUPANT;NOT INJURED
747606;747562;PASSENGER/OCCUPANT;NOT INJURED
747607;747596;DRIVER;NOT INJURED
747608;747597;DRIVER;NOT INJURED
747609;747598;DRIVER;POSSIBLE INJURY
747610;747598;PASSENGER/OCCUPANT;POSSIBLE INJURY
747611;747600;DRIVER;NOT INJURED
747612;747601;DRIVER;NOT INJURED
747613;747602;DRIVER;NOT INJURED
747614;747603;DRIVER;UNKNOWN
747615;747604;DRIVER;POSSIBLE INJURY
747616;747605;DRIVER;NOT INJURED
747617;747605;PASSENGER/OCCUPANT;NOT INJURED
747618;747605;PASSENGER/OCCUPANT;NOT INJURED
747619;747605;PASSENGER/OCCUPANT;NOT INJURED
747620;747609;DRIVER;NOT INJURED
747621;747610;DRIVER;NOT INJURED
747622;747611;DRIVER;NOT INJURED
747623;747611;PASSENGER/OCCUPANT;NOT INJURED
747624;747611;PASSENGER/OCCUPANT;NOT INJURED
747625;747611;PASSENGER/OCCUPANT;NOT INJURED
747626;747615;DRIVER;NOT INJURED
747627;747615;PASSENGER/OCCUPANT;NOT INJURED
747628;747615;PASSENGER/OCCUPANT;NOT INJURED
747629;747618;DRIVER;NOT INJURED
747630;747619;DRIVER;NOT INJURED
747631;747619;PASSENGER/OCCUPANT;NOT INJURED
747632;747621;DRIVER;NOT INJURED
747633;747622;DRIVER;NOT INJURED
747634;747623;DRIVER;NOT INJURED
747635;747624;DRIVER;NOT INJURED
747636;747625;DRIVER;NOT INJURED
747637;747626;DRIVER;NOT INJURED
747638;747627;DRIVER;NOT INJURED
747639;747628;DRIVER;NOT INJURED
747640;747628;PASSENGER/OCCUPANT;NOT INJURED
747641;747630;DRIVER;NOT INJURED
747642;747631;DRIVER;NOT INJURED
747643;747632;DRIVER;NOT INJURED
747644;747633;DRIVER;NON-INCAPACITATING INJURY
747645;747634;DRIVER;NOT INJURED
747646;747635;DRIVER;NOT INJURED
747647;747636;DRIVER;NOT INJURED
747648;747636;PASSENGER/OCCUPANT;POSSIBLE INJURY
747649;747636;PASSENGER/OCCUPANT;NOT INJURED
747650;747636;PASSENGER/OCCUPANT;NOT INJURED
747651;747640;DRIVER;POSSIBLE INJURY
747652;747641;DRIVER;POSSIBLE INJURY
747653;747642;DRIVER;POSSIBLE INJURY
747654;747643;DRIVER;NOT INJURED
747655;747644;DRIVER;NOT INJURED
747656;747644;PASSENGER/OCCUPANT;POSSIBLE INJURY
747657;747646;DRIVER;NOT INJURED
747658;747647;DRIVER;NOT INJURED
747659;747648;DRIVER;NOT INJURED
747660;747649;DRIVER;NOT INJURED
747661;747650;DRIVER;NOT INJURED
747662;747650;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747663;747650;PASSENGER/OCCUPANT;NOT INJURED
747664;747653;DRIVER;NON-INCAPACITATING INJURY
747665;747654;DRIVER;NOT INJURED
747666;747654;PASSENGER/OCCUPANT;NOT INJURED
747667;747656;DRIVER;NOT INJURED
747668;747657;DRIVER;POSSIBLE INJURY
747669;747658;DRIVER;NOT INJURED
747670;747659;DRIVER;NOT INJURED
747671;747660;DRIVER;NOT INJURED
747672;747661;DRIVER;NON-INCAPACITATING INJURY
747673;747662;DRIVER;NOT INJURED
747674;747663;DRIVER;NOT INJURED
747675;747663;PASSENGER/OCCUPANT;NOT INJURED
747676;747665;DRIVER;NOT INJURED
747677;747665;PASSENGER/OCCUPANT;NOT INJURED
747678;747667;DRIVER;NON-INCAPACITATING INJURY
747679;747668;DRIVER;NOT INJURED
747680;747669;DRIVER;NOT INJURED
747681;747670;DRIVER;NOT INJURED
747682;747671;DRIVER;UNKNOWN
747683;747672;DRIVER;NOT INJURED
747684;747672;PASSENGER/OCCUPANT;NOT INJURED
747685;747674;DRIVER;NOT INJURED
747686;747675;DRIVER;NOT INJURED
747687;747676;DRIVER;NON-INCAPACITATING INJURY
747688;747677;DRIVER;NOT INJURED
747689;747678;DRIVER;NON-INCAPACITATING INJURY
747690;747679;DRIVER;NOT INJURED
747691;747680;DRIVER;NOT INJURED
747692;747681;DRIVER;NOT INJURED
747693;747682;DRIVER;NOT INJURED
747694;747683;DRIVER;NOT INJURED
747695;747684;DRIVER;UNKNOWN
747696;747684;PASSENGER/OCCUPANT;UNKNOWN
747697;747684;PEDESTRIAN;POSSIBLE INJURY
747698;747687;DRIVER;UNKNOWN
747699;747688;DRIVER;NOT INJURED
747700;747688;PASSENGER/OCCUPANT;NOT INJURED
747701;747690;DRIVER;NO DATA
747702;747691;DRIVER;POSSIBLE INJURY
747703;747692;DRIVER;NOT INJURED
747704;747692;PASSENGER/OCCUPANT;NOT INJURED
747705;747694;DRIVER;NOT INJURED
747706;747695;DRIVER;INCAPACITATING INJURY
747707;747696;DRIVER;NON-INCAPACITATING INJURY
747708;747696;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747709;747698;DRIVER;NON-INCAPACITATING INJURY
747710;747699;DRIVER;NOT INJURED
747711;747700;DRIVER;NOT INJURED
747712;747700;PASSENGER/OCCUPANT;NOT INJURED
747713;747702;DRIVER;NOT INJURED
747714;747702;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747715;747704;DRIVER;NOT INJURED
747716;747705;DRIVER;NOT INJURED
747717;747706;DRIVER;NOT INJURED
747718;747707;DRIVER;POSSIBLE INJURY
747719;747707;PEDESTRIAN;POSSIBLE INJURY
747720;747709;DRIVER;NOT INJURED
747721;747710;DRIVER;NOT INJURED
747722;747711;DRIVER;NOT INJURED
747723;747712;DRIVER;NOT INJURED
747724;747713;DRIVER;NOT INJURED
747725;747713;PASSENGER/OCCUPANT;NOT INJURED
747726;747713;PASSENGER/OCCUPANT;NOT INJURED
747727;747716;DRIVER;NOT INJURED
747728;747717;DRIVER;NOT INJURED
747729;747718;DRIVER;NOT INJURED
747730;747718;PASSENGER/OCCUPANT;NOT INJURED
747731;747720;DRIVER;POSSIBLE INJURY
747732;747720;PASSENGER/OCCUPANT;POSSIBLE INJURY
747733;747722;DRIVER;NOT INJURED
747734;747722;PASSENGER/OCCUPANT;NOT INJURED
747735;747722;PASSENGER/OCCUPANT;NOT INJURED
747736;747725;DRIVER;POSSIBLE INJURY
747737;747726;DRIVER;NON-INCAPACITATING INJURY
747738;747727;DRIVER;NOT INJURED
747739;747727;PASSENGER/OCCUPANT;NOT INJURED
747740;747727;PASSENGER/OCCUPANT;NOT INJURED
747741;747727;PASSENGER/OCCUPANT;NOT INJURED
747742;747731;DRIVER;NOT INJURED
747743;747732;DRIVER;NOT INJURED
747744;747732;PASSENGER/OCCUPANT;NOT INJURED
747745;747734;DRIVER;NOT INJURED
747746;747735;DRIVER;NOT INJURED
747747;747736;DRIVER;NOT INJURED
747748;747737;DRIVER;NOT INJURED
747749;747737;PASSENGER/OCCUPANT;NOT INJURED
747750;747737;PASSENGER/OCCUPANT;NOT INJURED
747751;747740;DRIVER;NOT INJURED
747752;747741;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
747753;747742;DRIVER;NOT INJURED
747754;747743;DRIVER;NOT INJURED
747755;747744;DRIVER;NOT INJURED
747756;747745;DRIVER;POSSIBLE INJURY
